,Apellido,Nombre,Instituto,Tipo,Titulo,Resumen,Cargo,Prefijo,CHOP,WL,Pregen
11,Barreto Acevedo,Willians Oswaldo,"Universidad de Los Andes, Venezuela",G - Estrellas y F\'isica Estelar,Tres estudios sobre pol\'itropas anis\'otropas,"En un primer estudio, consideramos c\'omo la anisotrop\'ia afecta la masa l\'imite de Chandrasekhar de una enana blanca al ser tratada como una pol\'itropa newtoniana. En un segundo estudio, general relativista, examinamos dos posibles tipos de ecuaciones politr\'opicas que conducen a la misma ecuaci\'on de Lane-Emden en el l\'imite newtoniano. Obtenemos modelos que muestran el efecto de la anisotrop\'ia en la estructura estelar. En este contexto, la masa de Tolman, que es una medida de la masa gravitacional activa, es invocada para explicar ciertas caracter\'isticas de los modelos. En un tercer estudio, analizamos distribuciones de fluido esf\'ericamente sim\'etricas y conformalmente planas que satisfacen una ecuaci\'on de estado pol\'itropa. De las dos posibles familias de pol\'itropas relativistas s\'olo una contiene modelos con las condiciones f\'isicas requeridas. Las configuraciones obtenidas son necesariamente anis\'otropas. En los tres estudios se\~nalamos posibles aplicaciones astrof\'isicas.",Profesor - Investigador,Dr., Poster,0,o
12,Becerra Becerra,Aida del Pilar,Universidad Nacional de Colombia,"C - Educaci\'on, Divulgaci\'on y Herencia",GalileoMobile: Entre las Estrellas y Bacat\'a - Lecciones aprendidas de la primera expedici\'on en Colombia,"Luego de seis a\~nos de labores, propiciando la aproximaci\'on a la astronom\'ia en miles de personas y comunidades en pa\'ises como Chile, Per\'u, Bolivia, India, Uganda y Brazil, en Octubre del a\~no 2014 el proyecto internacional GalileoMobile realiz\'o su primera expedici\'on a Colombia. Esta visita se hizo dentro del marco del convenio entre la Secretar\'ia de Educaci\'on Distrital de Bogot\'a y la Universidad Sergio Arboleda para fortalecer la educaci\'on media en la ciudad, contando con el apoyo del Planetario de Bogot\'a y de la Red de Amigos y Divulgadores de la Astronom\'ia ReLoAD Bacat\'a. En esta ponencia queremos compartir algunos aspectos de esta experiencia de intercambios socioculturales y educativos en cinco colegios p\'ublicos de Bogot\'a, cuya semillas germinan meses despu\'es con la implementaci\'on del proceso de seguimiento bajo la plataforma online del proyecto –GalileoMobile Constellation”, inspirando y nutriendo experiencias relacionadas.",Divulgador,Sra.,a Conferencia,1,a
13,Benavides Blanco,Jose Antonio,Universidad Nacional de Colombia,I - Galaxias y Cosmolog\'ia,Origen del disco de sat\'elites de la V\'ia L\'actea: Ca\'ida de asociaciones de galaxias enanas al halo de materia oscura,"Los discos de sat\'elites observados en las dos galaxias dominantes del Grupo Local, La V\'ia L\'actea y la Galaxia Andr\'omeda son hoy por hoy uno de los problemas abiertos en la astrof\'isica. Actualmente no se cuenta con un modelo te\'orico que explique correctamente tanto la abundancia como la distribuci\'on espacial de estos objetos dentro del Grupo Local. En este trabajo se presentan resultados de simulaciones num\'ericas Newtonianas de N-cuerpos de grupos de galaxias enanas, dominadas por materia oscura, que ingresan al halo de materia oscura de la V\'ia L\'actea siguiendo \'orbitas parab\'olicas. Se realizan an\'alisis sobre las propiedades morfol\'ogicas y la distribuci\'on espacial de las enanas luego del tiempo de simulaci\'on propuesto para la interacci\'on con la V\'ia L\'actea. Se ha encontrado que la formaci\'on del disco de sat\'elites pudo haber tenido su origen para la ca\'ida de asociaciones de enanas que hubiesen estado ubicadas en rangos de distancias menores a 2 Mpc, siguiendo este tipo de \'orbitas.",Estudiante de Maestr\'ia,Sr., Poster,0,o
14,Ben\'itez Garc\'ia,Lina Mar\'ia,Universidad Libre,"C - Educaci\'on, Divulgaci\'on y Herencia","La Astronom\'ia, Un escenario Multidiverso","Con el crecimiento tan acelerado de personas interesadas en aprender astronom\'ia, la rivalidad existente entre Aficionados y profesionales que antes era nuestra realidad, ha llegado a su m\'inima expresi\'on, permitiendo as\'i el avance en investigaci\'on, educaci\'on y divulgaci\'on que actualmente poseemos, adem\'as ha permitido la integraci\'on de todos los perfiles profesionales y t\'ecnicos que sienten pasi\'on por la astronom\'ia en general. Es as\'i como en nuestro panel, los expertos, a trav\'es de sus experiencias en investigaci\'on y divulgaci\'on, nos mostraran los matices de la astronom\'ia como ciencia diversa. Para explicar esto los panelistas hablar\'an a modo de ejemplo sobre clima espacial, y como lo estudian desde su rama investigativa y profesional demostrando la multidisciplinariedad de la astronom\'ia. 
El panel cuenta con astrof\'isicos y abogados, cada uno con una especialidad diferente, pero integrados para hablar sobre divulgaci\'on y educaci\'on en astronom\'ia y ciencias afines.",Estudiante de Pregrado,Sra.,a Conferencia,1,a
15,Ben\'itez Garc\'ia,Lina Mar\'ia,"ERIS, Asesores Legales en Asuntos Astron\'omicos","C - Educaci\'on, Divulgaci\'on y Herencia","La Luz de las Estrellas, Patrimonio de la Humanidad","La contaminaci\'on lum\'inica es uno de los problemas ambientales m\'as presentes en el siglo XXI, puesto que tiene graves implicaciones en diferentes aspectos. A pesar de la inminente necesidad de los sistemas de iluminaci\'on artificial para el desarrollo de las diferentes actividades humanas, son estos la causa de la contaminaci\'on lum\'inica. Seg\'un m\'ultiples estudios, la disposici\'on de luminarias y postes en una ciudad, modifica los niveles de contaminaci\'on e inclusive mejora la seguridad de los ciudadanos, permitiendo los estudios observacionales de astr\'onomos y amateurs. 
La Declaraci\'on Starlight estableci\'o que –el derecho a un cielo nocturno no contaminado que permita disfrutar la contemplaci\'on del firmamento”, es inalienable y de la misma categor\'ia que los derechos ambientales, sociales y culturales, por tanto debe ser protegido, defendido y garantizado por el Estado a trav\'es de regulaciones y medios t\'ecnicos de alcance nacional y a la orden de todos los ciudadanos.",Estudiante de Pregrado,Sra., Poster,0,a
16,Boh\'orquez Pacheco,Omar Alfonso,Universidad Nacional de Colombia,"C - Educaci\'on, Divulgaci\'on y Herencia",Evoluci\'on hist\'orica del modelo cosmol\'ogico est\'andar,"En esta presentaci\'on se pretende dar a conocer al p\'ublico en general una visi\'on epistemol\'ogica e hist\'orica del Modelo cosmol\'ogico est\'andar, esto tiene como fin acercar a la comunidad cient\'ifica y no cient\'ifica a una faceta del conocimiento cient\'ifico que gira en torno a los eventos y an\'ecdotas que llevaron a la consecuci\'on de la teor\'ia del Big Bang, esta charla promete ser llevada a cabo con el menor grado de formalidad posible con el objetivo de acercar al publico a un aspecto m\'as humano de la ciencia.",Estudiante de Maestr\'ia,Sr., Poster,0,o
17,Boh\'orquez Pacheco,Omar Alfonso,Universidad Nacional de Colombia,I - Galaxias y Cosmolog\'ia,Origen del disco de sat\'elites de la V\'ia L\'actea: Colisi\'on de dos galaxias de disco,"Determinar el origen de las galaxias enanas esferoidales sat\'elite de las galaxias dominantes del grupo local es un problema abierto. Estas galaxias se encuentran distribuidas en un plano que est\'a dispuesto de forma perpendicular al plano de la galaxia nodriza, este plano se denomina disco de sat\'elites (DoS). Las predicciones realizadas por el modelo est\'andar de la astrof\'isica (CDM) corresponden a una distribuci\'on de tipo espacial que es muy diferente a la observada. Por las razones expuestas anteriormente se lleva a cabo un trabajo donde se realizan simulaciones num\'ericas de N-cuerpos, para estudiar si es posible que el origen de las galaxias sat\'elite de las galaxias dominantes del grupo local se pudiera dar a trav\'es de la colisi\'on de dos galaxias de disco. En este estudio se realizan colisiones con diferentes masas de galaxias sat\'elites que interact\'uan con la galaxia nodriza obteni\'endose distribuciones espaciales de part\'iculas similares a las del (DoS).",Estudiante de Maestr\'ia,Sr.,a Conferencia/Poster,2,o
18,Bonilla Neira,Jes\'us David,Universidad Industrial de Santander,"C - Educaci\'on, Divulgaci\'on y Herencia","Planetario UIS, herramienta para incentivar la astronom\'ia en Santander","Se presenta el recuento de las actividades realizadas por el Grupo Halley con el fin de acercar la astronom\'ia a los estudiantes de colegios de Bucaramanga-Colombia. Esta actividad se lleva a cabo mediante presentaciones en el Planetario-UIS tales como: viaje por la sistema solar, hacia las estrellas, calentamiento global y constelaciones. En tres a\~nos de operaci\'on se ha recibido m\'as de 9000 estudiantes estableciendo semilleros de astronom\'ia en colegios los cuales participan docentes.",Estudiante de Pregrado,Sr., Poster,0,o
19,Bonilla Rivera,Alexander,Universidad Central,I - Galaxias y Cosmolog\'ia,Constraints on dark energy models from CMB Shift Parameter and LSS Growth Rate measurements,"We make use of the most recent observational data from CMB and LSS, to put cosmological constraints on different dark energy models (LCDM, wCDM, CPL, EDE, IDE). The CMB Shift Parameter and the Linear Growth Factor Structure are used as cosmological test. We study the expansion history trougth of different probes, where we found that at low redshift appears an anomalous behavior of slowdown, which is consistent on models with DE varying with time . We simulate the GS to different models.",Profesor - Investigador,Sr.,a Conferencia,1,o
20,Bonilla Rivera,Alexander,Universidad Aut\'onoma de Colombia,I - Galaxias y Cosmolog\'ia,Radioastronom\'ia y Cosmolog\'ia,"El estudio en radio del denominado universo fr\'io es gran importancia para la cosmolog\'ia moderna. Desde el descubrimiento de los Quasars y el CMB, hasta la detecci\'on de modos-B por BICEP II, la cosmolog\'ia entra en la denominada era de alta precisi\'on, con proyectos como ALMA, SKA y LOFAR. Los principales temas de investigaci\'on observacionales que estamos desarrollando en este momento son: Radio Timing (Gravitational Waves-NANOGrav), Reionizaci\'on (Infrared Background Spectrum), GravLens in radio, Galaxy Clusters (SZe). La forma de trabajar en estos temas abarca desde los aspectos te\'oricos mas relevantes, pasando por la colaboraci\'on con equipos internacionales (Pol\'iticas de cielos abiertos -NRAO-) y/o la utilizaci\'on de datos libres, hasta la consecuci\'on de proyectos de observaci\'on propios. Se presentara adem\'as una propuesta para dise\~nar, desarrollar e implementar un Radio-Inteferometro de baja frecuencia en el \'area andina cuyo prototipo esta basado en proyectos exitosos como el LOFAR.",Profesor - Investigador,Sr., Poster,0,o
