,Apellido,Nombre,Instituto,Tipo,Titulo,Resumen,Cargo,Prefijo,CHOP,WL,Pregen
21,Calderon Ardila,Rolando,Universidad Industrial de Santander,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos, D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental",CARACTERIZACION DE LAS SE\~NALES DE LOS DETECTORES CHERENKOV EN AGUA DEL PROYECTO LAGO USANDO GEANT4,"Para el estudio indirecto de los rayos c\'osmicos desde el nivel del suelo se requiere la caracterizaci\'on de las se\~nales medidas por los detectores utilizados. El proyecto Latin American Giant Observatory (LAGO), es un observatorio de rayos c\'osmicos basado en detectores Cherenkov en agua (WCD). Las se\~nales detectadas en cada sitio se producen cuando pasan part\'iculas secundarias por el interior del detector, originadas al interactuar un rayo c\'osmico primario con la atmosfera. En este trabajo se utilizo c\'odigos basados en GEANT4 para simular la interacci\'on de distintos tipos de part\'iculas con el detector GUANE3 del nodo UIS del proyecto LAGO. En las simulaciones se modificaron distintos par\'ametros del detector para estudiar el efecto que estos factores tienen sobre las se\~nales observadas. Se utilizaron los tiempos caracter\'isticos de los pulsos como indicadores de estos efectos, finalmente se realizaron comparaciones con los valores experimentales observados en el detector.",Estudiante de Pregrado,Sr., Poster,0,o
22,Calder\'on Cucunub\'a,Laura Paola,Universidad Nacional de Colombia,F - Sistemas Planetarios y Bioastronom\'ia,Evoluci\'on geomorfol\'ogica de la zona de Hadriaca Patera en Marte,"Hadriaca Patera es un volc\'an localizado en el hemisferio sur de Marte al noreste de la cuenca Hellas Planitia. Se caracteriza por ser uno de los pocos volcanes que presenta un patr\'on de drenaje radial y una inclinaci\'on de sus laderas menor a 1ç; adem\'as hacia sus alrededores existen zonas de colapso, lo cual hace de esta regi\'on una interesante \'area de estudio geomorfol\'ogico. Se emple\'o la densidad de cr\'ateres de impacto sobre la superficie para describir y caracterizar temporalmente los eventos geol\'ogicos de la zona de Hadriaca Patera. Y por \'ultimo se hizo una comparaci\'on de este volc\'an con los volcanes terrestres.",Estudiante de Pregrado,Sra.,a Conferencia,1,a
23,Campos Rozo,Jose Iv\'an,Observatorio Astron\'omico Nacional,E - El Sol y la Heli\'osfera,Interfaz gr\'afica para an\'alisis de correlaci\'on Local,"El seguimiento de correlaci\'on local ( LCT , November y Simon, 1988 ) es una t\'ecnica robusta utilizada para estudiar la din\'amica de estructuras en una serie temporal de im\'agenes. Mediante el seguimiento de los desplazamientos de p\'ixeles , utilizando una ventana de correlaci\'on , LCT puede determinar movimientos propios y generar mapas de flujo de velocidades horizontales . Este procedimiento se utiliza para estudiar la din\'amica del plasma en la fotosfera solar a diferentes escalas espaciales , por ejemplo, el an\'alisis de la din\'amica de gr\'anulos o celdas convectivas supergranulares, etc. SunPy es un esfuerzo conjunto de insvestigadores, utilizando las ventajas de Python, para el desarrollo de herramientas de procesamiento y an\'alisis de datos solares. Una herramienta de visualizaci\'on (GUI) f\'acil de usar fue implementada en Python y Sunpy para controlar diversos par\'ametros para el proceso de c\'alculo de mapas de flujo de movimientos propios para una serie de filtergramas.",Estudiante de Maestr\'ia,Sr., Poster,0,o
24,Cardona,Giovanni,Universidad Distrital Francisco Jose de Caldas ,"C - Educaci\'on, Divulgaci\'on y Herencia",La densidad de la Luna : Secuencia did\'actica para la Ense\~nanza de la Astronom\'ia,"En este trabajo se presenta una actividad que propone calcular la masa y la densidad de la Luna, tomando los datos obtenidos por el Explorer 35, que fue lanzado en Julio 19 de 1967 y puesto a orbitar la Luna en Julio 22. Las actividades de aprendizaje que soportan el trabajo en este sentido se organizaron en una secuencia did\'actica, estructurada en talleres relacionados entre s\'i, de acuerdo con una pregunta generadora èCu\'al es la densidad de la luna?. Se presentan algunas implicaciones para la did\'actica de la Astronom\'ia y el desarrollo de actividades de los clubes de Astronom\'ia.",Profesor - Investigador,Sr., Poster,0,o
25,Chac\'on,Cesar,Universidad Distrital Francisco Jos\'e de Caldas,I - Galaxias y Cosmolog\'ia,Contraste de densidad para colapso esf\'erico y funci\'on de masa fractal en un universo Lemaître-Tolman-Bondi,"Desarrollamos te\'oricamente el contraste de densidad para colapso esf\'erico de una perturbaci\'on de materia oscura que evoluciona en un universo no-homog\'eneo, basado en el modelo cosmol\'ogico de un polvo libre de presi\'on esf\'ericamente sim\'etrico desarrollado por Georges Lemaître, Richard C. Tolman y Hermann Bondi (Modelo LTB) dentro del contexto de la Teor\'ia de la Relatividad General. Con el fin de determinar el contraste de densidad para una universo LTB, proponemos una perturbaci\'on en colapso con E (r) < 0 evoluciona en un fondo en expansi\'on con E (r) > 0. Determinamos una funci\'on con dependencia radial para el contraste de densidad, en lugar de un valor constante e independiente de la coordenada radial que en primer orden de aproximaci\'on reproduce el valor predicho por la cosmolog\'ia est\'andar para un universo homog\'eneo. Finalmente determinamos una expresi\'on para la funci\'on de masa en una distribuci\'on fractal de materia utilizando la teor\'ia Excusion set para una barrera m\'ovil.",Profesor - Investigador,Sr, Poster,0,a
26,Chaparro Molano,Germ\'an,"Universidad ECCI, Universidad Sergio Arboleda","B - Instalaciones, Tecnolog\'ias y Ciencia de Datos, F - Sistemas Planetarios y Bioastronom\'ia",Radioastronom\'ia en el Nodo Andino,"En esta charla har\'e una rese\~na de proyectos de Radioastronom\'ia que est\'an teniendo lugar en la Universidad ECCI, y expondr\'e algunas propuestas futuras para generar colaboraciones a nivel colombiano y andino en Radioastronom\'ia.",Profesor - Investigador,Dr., Poster,0,o
27,Char,Farid,"Unidad de Astronom\'ia, Universidad de Antofagasta","C - Educaci\'on, Divulgaci\'on y Herencia",Propuesta de Chile como sede de la XXXI Asamblea General IAU,"Esta presentaci\'on describe un resumen de la propuesta chilena para ser sede la XXXI Asamblea General de la IAU en 2021, consolidando la posici\'on de Chile como capital de la astronom\'ia mundial en la pr\'oxima d\'ecada, ad portas de la entrada en operaciones de la nueva generaci\'on de telescopios extremadamente grandes, como GMT, LSST y E-ELT. 
Adem\'as, se abordar\'a el status de la divulgaci\'on astron\'omica en Chile en el contexto de los pa\'ises andinos, as\'i como sus esfuerzos, resultados, colaboraciones y nuevos desaf\'ios que supone comunicar la astronom\'ia al p\'ublico.",Asistente de investigaci\'on,Sr.,a Conferencia,1,o
28,Dubeibe Marin,Fredy Leonardo,Universidad de los Llanos,A - Astronom\'ia Fundamental,Din\'amica del problema de tres cuerpos restringido PostNewtoniano,"En el presente trabajo se estudia la din\'amica de part\'iculas del problema Post-newtoniano de tres cuerpos restringido. El movimiento de la part\'icula de prueba se restringe al plano de movimiento de dos masas primarias que giran fijas y de forma uniforme en \'orbitas circulares alrededor del centro de masas com\'un. La aproximaci\'on Post-newtoniana se realiza a trav\'es del m\'etodo de Geroch y Hansen para dos fuentes tipo Schwarzschild. Con respecto al sistema cl\'asico, se observa un leve desplazamiento en los puntos de Lagrange del problema Post-newtoniano.",Profesor - Investigador,Dr., Poster,0,o
29,Estupi\~n\'an L\'opez,Alex Francisco,Universidad Industrial de Santander (UIS),"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos, D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental",Implementaci\'on del M\'etodo de Thinning y De-thinning para Lluvias Iniciadas por Rayos C\'osmicos de Alta Energ\'ia,"Se presentan los resultados preliminares de nuestra versi\'on del algoritmo de De-thinning, utilizado para la reconstrucci\'on de las simulaciones adelgazadas de las EAS, iniciadas por los rayos c\'osmicos y fotones de alta energ\'ia. Se obtiene la distribuci\'on lateral de la densidad de part\'iculas, el promedio de la energ\'ia de las mismas como funci\'on de la distancia radial al eje de la lluvia, adem\'as se muestran implementaciones y optimizaciones que se realizaron al m\'etodo utilizado Dethinning.",Investigador,Sr., Poster,0,o
30,Fajardo Mendieta,Wilmar German,Universidad Nacional de Colombia,E - El Sol y la Heli\'osfera,Impulsivity Parameter for Solar Flares,"Typically three phases are observed during solar flares: preflare, impulsive and decay phases. During the impulsive phase it is believed that the electrons and other particles are accelerated after the stored energy in the magnetic field is released by reconnection. The impulsivity of a solar flare is a quantifiable property which shows how fast occur this initial energy release. It is measured via the impulsivity parameter which we define as the inverse of the overall duration of the impulsive phase. We computed this observable over a work sample of 48 M class events occurred during the Solar Cycle 24 by using three diferent methods. We propose an alternative way to classify solar flares according to their impulsivity parameter values, defining three different types of impulsivity. This system of classification is independent of the manner used to calculated the impulsivity parameter. Lastly, we show the relevance of this tool as a discriminator of different HXR generation processes.",F\'isico,Sr., Poster,0,o
31,Forero- Romero,Jaime ,Universidad de los Andes,I - Galaxias y Cosmolog\'ia,Dark Energy Spectroscopic Instrument,"En esta charla presentar\'e el Dark Energy Spectroscopic Instrument (DESI). DESI es un experimento de siguiente generaci\'on que espera restringir observacionalmente propiedades de la Energ\'ia Oscura. Presentar\'e las objetivos cient\'ificos generales, el dise\~no del intrumento para centrarme en los aportes de Uniandes al esta colaboraci\'on.",Profesor - Investigador,Dr.,a Conferencia/Poster,2,o
32,Fraile Beltr\'an,Jenny Carolina,Universidad Nacional de Colombia,"C - Educaci\'on, Divulgaci\'on y Herencia",IMPLEMENTATION OF FLUORESCENCE SPECTROSCOPY AS BASIC LABORATORY PRACTICE TO INTRODUCE TO THE STUDENTS OF HIGH SCHOOL AND UNDERGRADUATED EDUCATION TO CHEMICAL AND INSTRUMENTAL ANALYSIS TECHNIQUES USED IN PLANETARY SCIENCE.,"Analitic Chemistry is a measurement science that uses its concepts and techniques to be applied in the different knowledge areas to solve specific troubles about qualitative and quantitative characterization of matter, for example in Planetary Science area has a wide application of remote analysis thechniques. It is a need for general people to understand and to acquire the basic concepts about the daily phenomenon as these, although they seem complex and specializated are commons and besides, they involve frequent terms that we can find everyday in media and scientist disclosure.Therefore it is proprose the implementation of a laboratory practice based on spectroscopy as a basic topic, which can contribute with the globalization of knowledge planting estates in high school and undergraduated education to introduce the topic; fluorescence phenomenon and fluorescence spectroscopy are suggested to facilitate and to attract the interest of students with a nice experience of science.",Estudiante de Pregrado,Sra., Poster,0,a
33,Galvis Rodriguez,Hamilton David,Universidad Tecnol\'ogica de Pereira,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos, E - El Sol y la Heli\'osfera","Desarrollo de una antena dipolo circular para el estudio de las radioondas jovianas en 20,1MHz","Las radioondas provenientes del planeta J\'upiter consisten en fen\'omenos electromagn\'eticos generados por mecanismos de emisi\'on de Sincrotr\'on, debido a la interacci\'on del campo magn\'etico Joviano con part\'iculas cargadas producidas por Io. Dichas radioondas inciden directamente sobre la Tierra afectando las radiocomunicaciones. El Observatorio astron\'omico de la Universidad Tecnol\'ogica de Pereira, desde el grupo de investigaci\'on en Astroingenier\'ia ALFA ORI\'ON desarroll\'o una antena dipolo tipo lazo circular de 26cm de radio espaciado 30cm de una malla cuadrada de alambre de 70cm de lado, dise\~nada para resonar en 20,1MHz, que en conjunto con el receptor y el software del proyecto Radio Jove de la NASA, posibilit\'o las primeras observaciones de las radiofuentes A, B, C, IoA, IoB e IoC de J\'upiter, dando as\'i el primer paso para la realizaci\'on de una base de datos que permita un estudio m\'as detallado de la actividad Joviana en ondas de radio.",Estudiante de Pregrado,Sr., Poster,0,o
34,Garcia Ardila,Juan Carlos,Fundaci\'on Helios,"C - Educaci\'on, Divulgaci\'on y Herencia",LA ASTRONOMIA COMO HERRAMIENTA PEDAGOGICA EN LAS INSTITUCIONES EDUCATIVAS,"En al menos una ocasi\'on de nuestra vida hemos alzado nuestra mirada hacia el firmamento para contemplar su grandeza y cuestionar su origen y evoluci\'on.La astronom\'ia es la ciencia m\'as apropiada para motivar a los estudiantes en el campo de la investigaci\'on desde la formaci\'on b\'asica primaria, situaci\'on que no se debe desperdiciar para usarla como herramienta pedag\'ogica en instituciones educativas para lograr la meta de hacer de Colombia la Naci\'on m\'as educada de Am\'erica Latina.Hoy d\'ia la poblaci\'on estudiantil tiene mayor acceso a dispositivos m\'oviles que podr\'ian facilitar y mejorar los procesos de aprendizaje, pero la realidad es otra, dichos dispositivos se han convertido en un verdadero dolor de cabeza para los padres de familia y docentes ya que representan una fuente inagotable de distracci\'on, surgiendo la necesidad de crear mecanismos para enfocar de manera adecuada a los usuarios de dichas tecnolog\'ias en un mejor uso, siendo la divulgaci\'on de la Astronom\'ia la mejor herramienta.",Profesor - Investigador,Sr., Poster,0,o
35,Garcia Ardila,Juan Carlos,Fundaci\'on Helios,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos",Propuesta para la construcci\'on de un observatorio astron\'omico en el valle del Sugamuxi,"La Fundaci\'on Helios junto con los Hermanos de las escuelas cristianas de La salle, est\'an trabajando en la propuesta para la construcci\'on de un observatorio astron\'omico que estar\'a ubicado en inmediaciones de los municipios de Sogamoso, Iza y Firavitoba. En dicha propuesta se presentan an\'alisis de aceptaci\'on de la astronom\'ia en la comunidad estudiantil, an\'alisis de clima y calidad del cielo del sector. En cuento a estructuras y equipos se propone una estructura tipo domo y un astr\'ografo Asa 20N, c\'amara CCD con censor de 4096 x 4096. Las lineas de observaci\'on e investigaci\'on son: fotometr\'ia y astrometr\'ia de asteroides, cometas, Neos, supernovas, exoplanetas y Blazares, entre otros.",Profesor - Investigador,Sr., Poster,0,o
36,Garc\'ia Farieta,Jorge Enrique,UNIVERSIDAD NACIONAL DE COLOMBIA,I - Galaxias y Cosmolog\'ia,Estudio de la estructura multifractal de la distribuci\'on de galaxias a gran escala en cat\'alogos sint\'eticos con m\'ascara del SDSS DR7,"En el presente documento se estudia, desde el punto de vista fractal, la distribuci\'on espacial de galaxias a gran escala en cat\'alogos sint\'eticos utilizando la m\'ascara del Sloan Digital Sky Survey de redshift gal\'actico (SDSS DR7). Se construyeron cat\'alogos homog\'eneos siguiendo una funci\'on de selecci\'on radial mediante una distribuci\'on uniforme y el m\'etodo ""shuffled"" para una muestra principal de 486078 galaxias limitadas en redshift 0.02<z<0.2. Utilizando la t\'ecnica de ventana deslizante se determin\'o la dimensi\'on fractal y el espectro de lacunaridad para caracterizar el agrupamiento jer\'arquico en estos cat\'alogos al igual que su dependencia con la distancia radial. Algunos resultados preliminares son comparados con an\'alisis similares realizados sobre la simulaci\'on Millennium.",Estudiante de Maestr\'ia,Sr., Poster,0,o
37,Garc\'ia Ospina,Jose Alejandro,UPTC,"C - Educaci\'on, Divulgaci\'on y Herencia, E - El Sol y la Heli\'osfera",MOVIMIENTO DEL SOL A TRAV\'ES DEL MEDIO INTERESTELAR,"Nuestra estrella, el Sol es una de las aproximadamente 250 millones de estrellas, que pertenecen a la V\'ia L\'actea, el prop\'osito de este trabajo, es dar a conocer cual es la trayectoria de movimiento del Sol a trav\'es de la V\'ia L\'actea, adem\'as de dar caracter\'isticas de este movimiento, se analizan movimientos planetarios de cuerpos celestes que orbital al Sol, entre esos el movimiento de nuestro hogar, la Tierra. Durante el desarrollo del trabajo se presentaran distintas caracter\'isticas y efectos producidos por nuestra misma estrella sobre el Sistema solar, entre estos efectos se analizara el Viento solar, tambi\'en los efectos gravitatorios que ejercen los planetas entre s\'i; se desarrollara un peque\~no estudio acerca, de la influencia de los movimientos planetarios en los relojes biol\'ogicos humanos y como esos movimientos han sido usados durante la raza humana en su historia, para usos tanto de supervivencia como de intelectualidad y otro gran n\'umero de aplicaciones.",Estudiante de Pregrado,Sr., Poster,3,o
38,Goez,Cristian,UNIVERSIDAD LIBRE-UNIVERSIDAD ANTONIO NARI\~NO-CORPORACION COSMOS,"C - Educaci\'on, Divulgaci\'on y Herencia","""Una mirada a la Astronom\'ia desde otras perspectivas internacionales""","En la actualidad, la astronom\'ia se presenta como una disciplina milenaria en la que confluyen en forma permanente las principales corrientes de otras ciencias. Se pretende a trav\'es de esta conferencia en el II Workshop, dialogar con delegados de 7 pa\'ises del mundo a trav\'es de videoconferencia, sobre las estrategias de ense\~nanza y aprendizaje de la Astronom\'ia en sus pa\'ises. Mostrar un campo de saberes en el que la tecnolog\'ia es favorecida por sus programas de investigaci\'on y que, a su vez, la misma tecnolog\'ia colabora a su desarrollo. Un dominio con saberes sostenidos por modelos, en particular los que intentan explicar el universo, que en gran medida regulan el avance epist\'emico sobre el mundo natural.",Profesor - Investigador,Sr., Poster,0,o
39,G\'omez-Cort\'es,Felipe Leonardo,Universidad de Los Andes,I - Galaxias y Cosmolog\'ia,Una conexi\'on entre Tasa de Formaci\'on Estelar y Masa de Halos de Materia Oscura en \'epoca de reionizaci\'on,"Presentamos un nuevo enfoque en la relaci\'on entre tasa de formaci\'on estelar y halos de materia oscura a z~6. Utilizamos mediciones recientes de la Funci\'on de Luminosidad UV (UVLF) y simulaciones cosmol\'ogicas (Big Multidark y P-Bolshoi), aplicamos la t\'ecnica de abundance matching para poblar halos de materia oscura con galaxias activas reproduciendo las observaciones, la relaci\'on encontrada puede describirse como una doble ley de potencias. Investigamos tambi\'en el impacto de la varianza c\'osmica en las observaciones repitiendo nuestro an\'alisis sobre distintas poblaciones de halos en volumenes c\'osmicos comparables con los de las observaciones. Finalmente, comparamos nuestros resultados contra las predicciones de otros m\'etodos; i) simulaciones hidrodin\'amicas, ii) modelos semi-anal\'iticos, y iii) implementaciones de la t\'ecnica abundance matching. Es interesante, en particular, la discrepancia obtenida con este \'ultimo m\'etodo, dando en algunos casos un factor ~2 de diferencia.",Estudiante de Doctorado,Sr., Poster,0,o
40,Gonz\'alez Villegas,Guillermo Alfonso,Universidad Industrial de Santander,"D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental, I - Galaxias y Cosmolog\'ia",Din\'amica de Part\'iculas de Prueba en Potenciales Tridimensionales de Miyamoto y Nagai,"Se presenta una t\'ecnica para estudiar el movimiento de part\'iculas de prueba en campos gravitacionales generados por distribuciones de materia axialmente sim\'etricas, considerando en particular un potencial tipo Miyamoto y Nagai. Se muestra que la din\'amica de part\'iculas se puede analizar en un plano en dos dimensiones conocido como plano meridional, esto debido a la naturaleza del campo gravitacional: axial y sim\'etrico. Las ecuaciones diferenciales de movimiento que se encuentran con el formalismo Hamiltoniano se solucionan num\'ericamente y se determina que las \'orbitas var\'ian seg\'un las condiciones iniciales encontr\'andose trayectorias tipo caja, banano, tubo y ca\'oticas. Igualmente se generan algunos superficies de Secci\'on de Poincar\'e para mostrar comportamientos inestables o estables.",Profesor - Investigador,Dr.,a Conferencia,1,o
41,Granados Cruz,Andr\'es Felipe,Universidad Nacional de Colombia,I - Galaxias y Cosmolog\'ia,"SpecData, una herramienta computacional para la obtenci\'on de l\'ineas espectrales de fuentes gal\'acticas","SpecData es un c\'odigo desarrollado en Python para el ajuste de l\'ineas del espectro de emisi\'on, en el rango \'optico, de fuentes gal\'acticas disponibles en la base de datos Sloan Digital Sky Survey (SDSS), mediante la implementaci\'on de los paquetes Astropy, Astroquery y Numpy que permiten automatizar el ajuste de las componentes espectrales para un n\'umero significativo de objetos de forma r\'apida. Para una muestra de galaxias de diferentes tipolog\'ias con z < 0.1 se estima la relaci\'on de los flujos de las l\'ineas de [O III] en 4363, 4959 y 5007 A, [N II] en 5756, 6549 y 6584 A, y de [O II] en 3726, 3729 A y [S II] en 6716 y 6731 A con el fin de calcular la temperatura y densidad electr\'onica de los objetos, utilizando el paquete PyNeb, entre cada uno de los cocientes de [O III], [N II] como indicadores de temperatura y [O II], [S II] como indicadores de densidad. Adicionalmente se construyen diagramas de diagn\'ostico.",Estudiante de Pregrado,Sr., Poster,0,o
42,Guasca Garnica,Ingrid Lizeth,Universidad Pedag\'ogica Nacional,"C - Educaci\'on, Divulgaci\'on y Herencia","INTRODUCCI\'ON AL AN\'ALISIS DE ESPECTROS ESTELARES, POR MEDIO DEL SOFTWARE ISIS","El espectro de radiaci\'on de las estrellas ha sido modelado de acuerdo con la teor\'ia de radiaci\'on de cuerpo negro la cual provee informaci\'on tal como la temperatura superficial que es esencial para comprender diferentes caracter\'isticas estelares. Para analizar los espectros, los astr\'onomos profesionales utilizan software especializado como el paquete IRAF. Sin embargo su complejidad y manejo v\'ia l\'inea de comandos ha generado una gran brecha para incentivar esta clase de estudios.
Por tal motivo, se han desarrollado programas con entornos m\'as amigables. Como el programa ISIS que provee herramientas esenciales permitiendo extraer perfiles de los espectros y calibrar autom\'aticamente su longitud de onda.
En este trabajo se muestra una metodolog\'ia para la ense\~nanza introductoria del an\'alisis de espectros estelares. Este proceso es presentado aqu\'i por medio del an\'alisis espectral de la estrella AB Aurigae el cual fue obtenido en el observatorio astron\'omico de la Universidad de los Andes.",Estudiante de Pregrado,Sra., Poster,0,a
43,Guevara-G\'omez,Juan Camilo,Universidad Nacional de Colombia ,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos",Detecci\'on de radio emisi\'on solar con una LPDA de 21 elementos.,"En Colombia, donde las condiciones clim\'aticas no permiten hacer observaciones astron\'omicas de calidad en la ventana \'optica (380-750 nm), la radioastronom\'ia se convierte en la mejor opci\'on. As\'i, se muestra la experiencia adquirida con una antena log-peri\'odica de dipolos de 21 elementos y un sistema de adquisici\'on de datos b\'asico, compuesto de un amplificador de se\~nal y un analizador de espectros. Con este sistema, durante observaciones realizadas en el segundo semestre de 2014 se detectaron picos de intensidad que coincidieron temporalmente con emisiones solares reportadas por la red e-callisto y la National Oceanic and Atmospheric Administration.",Estudiante de Maestr\'ia,Sr., Poster,0,o
44,Ishitsuka Iba,Jos\'e Kaname,Instituto Geof\'isico del Per\'u,G - Estrellas y F\'isica Estelar,Una Alternativa para el Desarrollo de la Astronom\'ia en la Regi\'on,"Las estrellas, seg\'un su grado evolutivo presentan nubes moleculares de materia interestelar que al recibir alg\'un tipo de energ\'ia ya sea de la misma estrella o de otra fuente, emiten una se\~nal en radio frecuencia (RF) muy fuerte, debido al efecto maser, amplificaci\'on de microondas debido a la emisi\'on estimulada de radiaci\'on. Al observar mediante un radio telescopio estas nubes moleculares, nos permite åverå las cercan\'ias de estrellas, espacios donde no se llega a ver con telescopio \'opticos.",Profesor - Investigador,Dr., Poster,0,o
45,Jaimes Motta,Andrei,Universidad Industrial de Santander,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos, D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental","Simulaci\'on del flujo de part\'iculas, con correcci\'on geomagn\'etica, que llegan a Bucaramanga (956 m s.n.m.)","En el marco del proyecto Guane adscrito a la colaboraci\'on LAGO, presentamos la simulaci\'on de la lluvia de secundarios con correcci\'on geomagn\'etica. Esta simulaci\'on es generada en la atm\'osfera por un grupo de primarios entre prot\'on y hierro, con el fin de calibrar nuestros detectores WCD. El prop\'osito de este trabajo es comparar la simulaci\'on con los datos recolectados por el detector, para as\'i obtener el fondo de radiaci\'on que se presenta en la ciudad de Bucaramanga.",Estudiante de Pregrado,Sr., Poster,0,o
46,Jim\'enez C\'ardenas,Juli\'an Orlando,Universidad Nacional de Colombia,"C - Educaci\'on, Divulgaci\'on y Herencia, E - El Sol y la Heli\'osfera",Radioastronomy Available for Everyone,"The Young Talent Program of Mathematics, Science and Technology takes place each year, since 2012, at the Konrad Lorenz University. This program is a non-profit project focused on high-school children from Bogot\'a, designed to inspire young people to science. In this talk we want to share last year's experience, whose general objective was to measure the solar activity via radio waves with NASA's Radio Jove project.
The radio telescopes built consisted of a receiver, a simple direct-conversion design operating over a few hundred kilohertz range centered at 20.1 MHz; an antenna and a dual dipole array. Audio signals from the receiver were sent to a computer where they were processed and displayed. The data analysis was done using Python to extract information. All the code used was written by the participants. Our results were rigorously compared with project's database.
This kind of projects offer a chance to participate in scientific studies with low costs.",Estudiante de Pregrado,Sr., Poster,0,o
47,Torres Celis,Jorge Andr\'es,Grupo de Ciencias Planetarias y Astrobiolog\'ia TITAN Universidad Nacional de Colombia,F - Sistemas Planetarios y Bioastronom\'ia,Modelos tect\'onicos para la luna Europa de J\'upiter y su relaci\'on con la formaci\'on de ambientes habitables.,"Los modelos geol\'ogicos se han convertido en la base fundamental para la comprensi\'on de los fen\'omenos que ocurren en otros planetas y lunas; Europa es uno de los cuatro principales sat\'elites naturales de J\'upiter su superficie es g\'elida y bajo esta se cree que existen grandes masas de agua l\'iquida, aplicando lo aprendido en el estudio del planeta tierra se han construido diferentes modelos que han llevado a la formulaci\'on de hip\'otesis acerca de la existencia de vida en este sat\'elite y que han sido reforzadas con los datos obtenidos en los \'ultimos a\~nos, la zona denominada como el caos de conamara es un terreno ca\'otico que muestra una zona de intercambio de agentes qu\'imicos y entrada de la radiaci\'on y donde la masa de hielo se encuentran fracturada y presenta movimiento; Lo que ha llevado a pensar en un modelo similar al de la tect\'onica de placas, estos factores son potenciales para la sustentaci\'on de vida unicelular en este sat\'elite.",Estudiante de Pregrado,Sr.,a Conferencia/Poster,2,o
48,L\'opez Suspes,Framsol,Universidad Santo Tom\'as,"D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental, I - Galaxias y Cosmolog\'ia",Din\'amica de Part\'iculas en Modelos de Discos Gruesos Newtonianos,"Se presenta una metodolog\'ia para construir modelos de galaxias no planas mediante la t\'ecnica conocida como –desplazamiento, corte, llenado y reflexi\'on”. Esta t\'ecnica fue empleada inicialmente por Kuzmin y luego ampliada por G.A. Gonz\'alez y P.A Letelier. La soluci\'on semilla que se us\'o para realizar el estudio es la familia del Discos Generalizados de Kalnajs. El par potencial-densidad que se obtiene tiene un buen comportamiento para un rango amplio de los par\'ametros de la soluci\'on. Posteriormente se realiza el an\'alisis del movimiento de part\'iculas de prueba mediante la soluci\'on num\'erica del sistema de ecuaciones diferenciales que resultan del formalismo Lagrangiano. La naturaleza de estas \'orbitas permite analizar la estabilidad del modelo.",Profesor - Investigador,Dr., Poster,0,o
49,L\'opez Suspes,Framsol,Universidad Santo Tom\'as,"D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental, I - Galaxias y Cosmolog\'ia",Modelos Triaxiales de Objetos Astrof\'isicos con Deformaci\'on Oblata o Prolata,"Se presenta el formalismo para encontrar modelos anal\'iticos triaxiales par potencial-densidad, que se pueden interpretar como versiones generalizadas de los modelos de galaxias aplanadas y axialmente sim\'etricos presentados por Miyamoto-Nagai. La t\'ecnica se basa en la metodolog\'ia empleada por Miyamoto-Nagai, quienes realizaron una generalizaci\'on del modelo de Plummer y Kuzmin a trav\'es de una transformaci\'on de la coordenada zeta. En nuestro caso realizamos la transformaci\'on tanto a la coordenada zeta como a la coordenada radial. Los par\'ametros del nuevo potencial permiten la descripci\'on de objetos de naturaleza oblata o prolata. Luego a partir del potencial se determina la densidad de la fuente mediante la ecuaci\'on de Poissson. Adicionalmente se presenta algunas \'orbitas asociadas con el nuevo par potencial-densidad.",Profesor - Investigador,Dr., Poster,0,o
50,Lora Clavijo,Fabio Duvan,Universidad Industrial de Santander - Universidad Nacional Aut\'onoma de M\'exico,D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental,CAFE: Un nuevo c\'odigo magnetohidrodin\'amico relativista,"CAFE es un nuevo c\'odigo num\'erico que resuelve las ecuaciones de las Magneto-hidrodin\'amica relativista ideal y est\'a dise\~nado para el estudio de fen\'omenos astrof\'isicos de altas energ\'ias tales como: jets, GRBs, etc. En este trabajo se presenta una amplia variedad de c\'alculos que demuestran que el c\'odigo puede manejar con precisi\'on y eficiencia fuertes choques en tres dimensiones espaciales.",Postdoc,Dr.,a Conferencia,1,o
